page;table;row_in_table;COMMUNE;TYPE DE VOIE;LIBELLE DE VOIE;NUMERO (DEBUT DE VOIE);INDICE DE REPETITION DE DEBUT;NUMERO (FIN DE VOIE, INCLUS);INDICE DE REPETITION DE FIN;PARITE;LYCEE DE RATTACHEMENT
2;1;32;TOULOUSE;RUE;ANDRE CHAMSON;1;;9999;;PI;LPO RAYMOND NAVES - TOULOUSE
2;1;33;TOULOUSE;RUE;ANDRE CHENIER;1;;9999;;PI;LGT OZENNE - TOULOUSE
2;1;34;TOULOUSE;RUE;ANDRE CLAROUS;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
2;1;35;TOULOUSE;RUE;ANDRE CLOU;1;;9999;;PI;LPO DEODAT DE SEVERAC - TOULOUSE
2;1;36;TOULOUSE;IMPASSE;ANDRE DANDINE;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
2;1;37;TOULOUSE;PLACE;ANDRE DASTE;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
2;1;38;TOULOUSE;RUE;ANDRE DASTE;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
2;1;39;TOULOUSE;RUE;ANDRE DELIEUX;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
2;1;40;TOULOUSE;RUE;ANDRE ETCHEVERLEPO;1;;9999;;PI;LPO RAYMOND NAVES - TOULOUSE
2;1;41;TOULOUSE;IMPASSE;ANDRE FERRAN;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;42;TOULOUSE;IMPASSE;ANDRE HAON;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
2;1;43;TOULOUSE;RUE;ANDRE HAON;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
2;1;44;TOULOUSE;RUE;ANDRE JACOUBET;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;45;TOULOUSE;IMPASSE;ANDRE LARTIGUE;1;;9999;;PI;LGT OZENNE - TOULOUSE
